mark_id,fewshot_acc
8beb5563,0.9
17f325e8,0.8666666666666667
6c5a6c7a,1.0
9bfcb263,1.0
3a144082,0.4
46015f0f,0.5
f4a4f196,1.0
5a870cd4,1.0
63c2fbab,1.0
11cb0c2e,0.9
d943b924,0.7
6d6f42bf,1.0
2792ecae,0.6
4e1d519c,0.6
e6d500be,1.0
017ae725,1.0
6fbb04e3,1.0
99cb8d69,0.8
e3361154,0.85
93da8317,0.9
89466340,1.0
d044925e,0.8
a5387409,0.6
868cd3d2,0.8
37642ad4,0.8
5730f6d5,0.4
7cba233b,0.7
79a03fad,1.0
61cea159,0.6
0a5dbfe9,0.8
63941dfc,1.0
b1a7918e,0.75
5468f5d7,0.6
667270ea,0.4
8638f439,0.95
f9c11d53,0.76
314809cc,0.7
7b7945a9,1.0
d83437eb,0.9333333333333333
80b9ff28,0.9333333333333333
7405c59b,1.0
bd5cf03c,0.8
8cbd98c3,1.0
c3906295,1.0
c1a8cd43,1.0
c110e444,0.8
313072c9,0.85
e16107c7,0.8666666666666667
f11f14e4,0.7333333333333333
33708aea,1.0
20caa1d8,0.5333333333333333
75a27f33,0.8
48a6890f,0.4
def16655,1.0
83a55611,0.85
bdfc81e5,0.8
8ee7122a,0.8
c5ecee5e,0.9
806e1578,1.0
abfdea68,0.9
b2927edb,0.8
eca01b0f,1.0
6dabf9f6,0.5
3704f7a1,0.9
f9498f7e,0.9
a5299e43,0.8
fb5c34ed,0.95
a17ba49b,0.7333333333333333
8120b21b,0.7
5a87373c,0.9
4263b85b,0.8
050044be,1.0
be4a67ec,0.76
584232ee,0.8
d275b34a,0.8666666666666667
f17be4ba,1.0
e5f3e844,1.0
848e1e33,0.9
a363d16a,0.9
66b264aa,0.6
83da03bd,0.55
5189cc6f,1.0
ac206f87,1.0
d88d558d,0.8
8770b50c,0.85
25b0225c,0.7333333333333333
bc928e52,0.8
65fbb009,0.8
4f18ba05,0.4
99d1720c,1.0
88ed1be9,0.6
004b6f3d,0.8
e8479688,0.6
447662e3,0.8
18640082,1.0
82b164ee,0.7
f54d5d8f,1.0
f706d45c,0.8666666666666667
8fce4964,0.9333333333333333
8894c5f5,0.8
9860db4a,0.8
f31b263a,0.8666666666666667
34c37829,1.0
42b5f49c,0.8
e13ae48d,0.6
5717f926,0.88
9d9670cf,1.0
bd47dd41,0.7
e5f86389,0.8
7c77a92b,0.8666666666666667
5b4a5311,0.5
1d4b2890,0.6
b405b179,1.0
649e2ef8,0.7
786948f9,1.0
54f0a250,1.0
6b356a06,0.9
ecaf61c6,1.0
778665c4,1.0
b8cfbb25,1.0
bec6a34e,0.8
13db3999,0.9333333333333333
10fa3570,0.8
d79273ad,0.9
9b4edf91,0.9
6971888d,1.0
2af2a56c,0.8666666666666667
6c20762f,0.85
46612b80,0.5
97921a0b,1.0
b2e3bf5d,1.0
4131e26a,0.4
1f5f4f37,0.6
0e4d858a,0.85
cf98cd54,1.0
d1f4b10b,1.0
6dfcb35b,1.0
df1528cf,0.6
08d9e889,0.2
1298bc1e,0.4
f2c8aed8,0.2
7ddc52f6,0.6
ebc92259,0.9
217b7be7,0.8
13002cc6,1.0
bca0e6d1,0.7
c04ede76,1.0
9d4e9f7b,0.8
90aa8b0d,0.6
70539d73,0.8
5a04dc5d,0.76
99ea7598,1.0
5ef4f8fc,1.0
425268b5,0.95
5733a51b,0.6
992c7851,1.0
e961a32d,0.8
16f56cfd,0.95
0de91a81,1.0
d9087961,0.8
2fba4af2,0.8
54d6f792,0.9
d3cb0315,1.0
107ba65f,0.8
54ab10a4,1.0
99197ea5,0.8
322e6926,0.8
9dfb2aab,0.8
fc2c1256,1.0
95ee6935,1.0
63df7d08,0.2
9b99656f,0.8
0c6c0d45,0.6
dd7d1de6,0.9
7cc4b87a,1.0
0128c6f7,0.4666666666666667
10f4d4e4,1.0
05835cd7,0.95
163690c4,1.0
d873b3ea,1.0
3930c9b0,0.8
7f374d6c,1.0
1b29a7a2,0.6
da21345a,0.8
7b8182e3,0.9333333333333333
0e7f6d5b,1.0
65e64c77,0.6
d6abd613,1.0
749e1277,1.0
e99b3cbe,0.5
1b8f3947,0.65
5e39de54,0.8
0b038f2c,0.8
93b5dd8c,1.0
0bd08d9c,0.8
ee0f5741,0.8
dbb5fcbb,0.6
5802cbd8,0.8666666666666667
ecf99060,1.0
9fc9b3e7,0.9
a695ca33,0.8
5121c83f,0.8666666666666667
b78c738f,0.65
15157252,0.8
fe3b7b63,1.0
3884f427,0.9
c11fc8c4,1.0
0bdf52bb,0.95
8f71f430,0.9
f9506be8,1.0
239458dc,1.0
6d1655da,1.0
c4e5bd3c,1.0
5df445ee,0.6
6fb31fd9,0.9
62082f6c,1.0
e938633d,0.8666666666666667
0df16b47,0.8
0fb95c85,0.6
4953469d,1.0
7c3c76d0,1.0
44afb7b7,0.7
b7dcd97c,0.8
cf17bfd1,0.4
7d63c16d,0.4
f9d41d5e,0.8
3ae80d8f,0.9
be3c30be,0.8666666666666667
2bcfe0bd,1.0
febe2922,1.0
1a995039,0.9333333333333333
ebe2f6ea,0.76
da72b9ed,0.9333333333333333
efe74ced,0.4
c318d37e,0.8
7e261a81,1.0
be0b92e4,0.92
9ac36752,1.0
unknown,0.6
880cf45a,0.9
1e539d6a,0.3
e9a96e9a,0.6
d8011e34,1.0
f8303a81,0.4
257a21f1,0.8
973b4356,0.6
5748e553,1.0
09944a83,1.0
b2a7f9e3,1.0
3e9fd80c,1.0
a25f1929,0.8666666666666667
20f401e4,0.8
88efa19b,0.65
46eea183,0.8
5a0d4d6b,1.0
3b3b7604,0.9333333333333333
9742696f,1.0
44083dd9,0.65
6e516f8e,1.0
5d5aee0c,0.8
6cd515a4,0.7333333333333333
4302e627,0.8
e846aa9b,0.6
a7ba311d,1.0
20fe58d6,1.0
01d8538d,0.6
235d3d61,1.0
562d3ec9,1.0
61350e97,1.0
0bead55a,0.6666666666666666
89e9e2a0,1.0
d1732fd0,1.0
5f197239,0.8
22764851,1.0
a3a132e6,0.8
1b82bf9f,0.9
cb87f7ab,0.6
a0382f90,0.9
6c15634d,0.7
0b7eeee6,0.8
92116086,0.8
36a82442,0.8
cdfb228a,0.9
3a2794ef,1.0
25d2a6ac,1.0
5072d3ef,0.8666666666666667
1670290b,0.75
3b72d08a,0.7
7aa9c7ce,0.68
269128b7,1.0
b32eadc6,0.6
1d3372f3,0.6
55d98f56,0.9
020bac6a,1.0
4c07310c,1.0
8f06ddfe,0.9333333333333333
a2fd6b55,0.8666666666666667
b2e535cc,0.9
e5cb4420,0.5
b2eb2c03,1.0
c34596f1,0.8
16c47a74,0.8
ada6c9b8,0.6
cc92fe59,0.9
2efb21c2,0.7333333333333333
a089e64a,0.9
aa9afe00,0.8666666666666667
f6ca1ee8,0.9
7cce626d,0.92
6efeea93,0.9
c8e778a5,1.0
8fef150f,1.0
3f49bf4a,0.9333333333333333
fad465f1,0.8
65aa248b,0.8
354fdec5,0.8
51c7fb62,1.0
5748e901,1.0
e336bcbd,1.0
6fb3f44d,1.0
19c42dca,1.0
f61e3cba,0.8
3a78f665,1.0
be152cdf,0.7
598726be,0.6
d750e76b,1.0
ab74d638,1.0
9627ab64,0.8
db540509,0.8
3aef7212,1.0
2a0a8027,1.0
03326706,1.0
c13a60b4,1.0
bc501701,1.0
70d4e0fc,0.5333333333333333
bc70d061,0.6
0bd90614,0.6
e1b03824,0.6
a631a589,1.0
ace6a292,0.8666666666666667
92469411,0.8
43507816,0.9
682a49e0,0.4
d7c35b65,1.0
06c8e046,0.6
02c3f91c,1.0
5c086310,0.6
9618b42c,1.0
b4313dc4,0.6
224dc0af,1.0
e06debe5,1.0
55848deb,0.6
cf8a06d8,1.0
34357fac,1.0
abd058df,1.0
863b024c,1.0
150e6b1d,0.8
29ef1c7f,1.0
ef5b62cc,0.6
f5b12012,0.9
9d4d2704,0.8
f3dcb072,0.6
26ca25e6,0.8
ad1e6e56,0.8
2c1b0877,0.9
a3981068,1.0
252358b7,1.0
62960577,1.0
c0b68ef5,1.0
3548c9b8,1.0
25028d0b,0.8
794d0575,0.9
6a7f5a13,0.8
251ed5b0,0.72
e5de1ffd,0.8
33ee16a5,1.0
472327dc,1.0
a7c24f92,0.8
884a5030,0.8
298dd4a0,1.0
8ed418dd,0.8
b04ada02,0.8
ce827264,0.96
3b2ca53c,1.0
aa47f67b,0.9
11c4b103,0.6
a9ec9da0,0.8
cb12ab59,1.0
b14af922,0.7
c6bfaa3e,1.0
6faf5fce,0.8
874c4301,0.8
71867541,0.9
b3fccb44,0.6
1ccdd29d,1.0
ccd544bc,0.9333333333333333
79cefa13,0.8
42478212,1.0
010600bf,0.6
277d38b7,1.0
30a98ae9,0.72
5ca53894,0.7
0eb7a1be,1.0
39775a3a,1.0
3b2a81d4,0.2
a9fa9a03,0.1
88b94482,0.0
8b917932,1.0
d3c77fd4,1.0
8880ad3f,0.7333333333333333
260c3fd9,1.0
cce09200,0.6
8a50492e,0.4
d11cb501,0.9
82ac512a,0.6666666666666666
fc9f3862,0.8
b3795250,1.0
9cb98eac,0.2
f2ab3d65,1.0
